Category,Linnean Name,English Name,Most Recent Date,Notes
Coleoptera (beetles):,Platyrhinus resinosus,Cramp-ball Fungus-weevil,2020-06-24,Develops in Cramp-ball fungus in decaying Ash trees
Hemiptera (Bugs):,Paracorixa concinna,a Water Boatman,2020-06-22,"Breeds in ponds, gravel pits and lakes; migrates"
Coleoptera (beetles):,Silpha laevigata,,2020-06-20,"A snail-eating species, local & uncommon"
Diptera (Flies):,Megamerina dolium,Ichneumon Fly,2020-06-18,♀  Likes dead wood; bark of fallen trees. Nationally scarce
Hemiptera (Bugs):,Hesperocorixa sahlbergi,,2020-06-13,"UV   Ubiquitous, especially in rivers."
Coleoptera (beetles):,Athous haemorrhoidalis,(click beetle),2020-06-13,"Very common, esp.on Hazel & Birch"
Trichoptera (Caddis Flies):,Hydropsyche pellucidula,Grey Flag or Marbled Sedge,2020-06-11,UV.  Breeds in still and slow-moving water.
Trichoptera (Caddis Flies):,Stenophylax permistus,,2020-06-11,"UV. Common in ditches, marshes, streams"
Psocoptera (Psocids):,Mesopsocus immunis,type of Barkfly,2020-06-10,
Psocoptera (Psocids):,Stenopsocus immaculatus,type of Barkfly,2020-06-10,UV.  Common
Diptera (Flies):,Limonia phragmitidis (was tripunctata),,2020-06-10,U.V.
"Hymenoptera (Ants, Wasps & Bees):",Ophion wuestneii (?),an Ichneumon Fly,2020-06-10,
Diptera (Flies):,Tipula oleracea,Cranefly,2020-06-08,UV               Common
Coleoptera (beetles):,Lampyris noctiluca,Glow-worm,2020-06-08,"♀ in garden, 9th ♂, UV"
Odonata (dragonflies & Damselflies):,Calopteryx splendens,Banded Demoiselle,2020-06-07,Favours slow rivers and lakes with muddy beds
Hemiptera (Bugs):,Orthotylus tenellus,,2020-06-05,UV  Identified from photo: may need checking
Psocoptera (Psocids):,Loensia fasciata,type of Barkfly,2020-06-04,UV
Trichoptera (Caddis Flies):,Limnephilus lunatus,Cinnamon Sedge,2020-06-03,UV  Breeds in all kinds of water
Diptera (Flies):,Chrysotoxum festivum,a Hoverfly,2020-06-02,
Trichoptera (Caddis Flies):,Mystacides longicornis,Grouse Wing,2020-06-01,Widespread throughout Britain
Trichoptera (Caddis Flies):,Tinodes waeneri,Small Red Sedge,2020-06-01,UV.  Breeds in lakes and rivers.
"Hymenoptera (Ants, Wasps & Bees):",Rhogogaster chlorosoma,a Sawfly,2020-06-01,Common.  Larva on Rowan etc.
Trichoptera (Caddis Flies):,Hydroptila vectis,,2020-05-31,
Diptera (Flies):,Psectrotanypus varius,,2020-05-31,UV.  Pretty common
Odonata (dragonflies & Damselflies):,Enallagma cyathigerum,Common Blue Damselfly,2020-05-28,Very common & widespread on heaths
Orthoptera (Grasshoppers & Crickets):,Chorthippus brunneus,Field Grasshopper,2020-05-28,
Trichoptera (Caddis Flies):,Mystacides azurea,Black Silverhorn,2020-05-27,UV Common throughout Britain
Psocoptera (Psocids):,Graphopsocus cruciatus,type of Barkfly,2020-05-26,UV
Diptera (Flies):,Tipula vernalis,Cranefly,2020-05-26,Common
"Hymenoptera (Ants, Wasps & Bees):",Apis mellifera,Honey Bee,2020-05-26,
Diptera (Flies):,Tipula lunata,Cranefly,2020-05-25,Common
Diptera (Flies):,Phaonia valida,,2020-05-24,
Diptera (Flies):,Tipula submarmorata,Cranefly,2020-05-24,"UV. Common near streams, generally distributed."
Coleoptera (beetles):,Cantharis rustica,Soldier Beetle,2020-05-24,Carniverous & occasionally cannibalistic
Coleoptera (beetles):,Melolontha melolontha,Common Cockchafer,2020-05-21,
Coleoptera (beetles):,Rhagonycha lignosa,,2020-05-19,UV
Odonata (dragonflies & Damselflies):,Libellula depressa,Broad-bodied Chaser,2020-05-18,"Very common in south, breeds in marshes"
Diptera (Flies):,Nephrotoma flavipalpis,Cranefly,2020-05-17,U.V. (photos) Woodland species
Collembola (Springtails),Entomobrya nivalis,Springtail,2020-05-14,"On a cranefly, Tipula vernalis"
Collembola (Springtails),Entomobrya nivalis,a springtail,2020-05-14,"(photo)  Live in leaf litter, then lichens on trees."
Hemiptera (Bugs):,Dryophilocoris flavoquadrimaculatus,,2020-05-12,"Oak bug.  Feeds on oak, and aphids etc."
Neuroptera (Lacewings & Snake flies):,Atlantoraphidia maculicollis,Snake Fly,2020-05-12,in garden.  3rd Hertfordshire record
Diptera (Flies):,Chamaepsila rosae,Carrot fly,2020-05-10,UV
Trichoptera (Caddis Flies):,Hydropsyche instabilis?,,2020-05-07,UV
Diptera (Flies):,Bibio marci,St Mark's Fly,2020-05-07,
Trichoptera (Caddis Flies):,Hydropsyche siltalai,Grey Flag or Marbled Sedge,2020-05-03,UV
Diptera (Flies):,Bombylius major,Dark-edged Bee fly,2020-05-02,Common
Hemiptera (Bugs):,Harpocera thoracica,,2020-05-01,"Very common, usually on oak"
Trichoptera (Caddis Flies):,Hydropsyche augustipennis?,,2020-04-24,UV
Coleoptera (beetles):,Demetrius atricapillus,,2020-04-24,UV
Hemiptera (Bugs):,Himacerus mirmicoides,Ant Damsel bug,2020-04-22,UV  On grass & nettles; preys on aphids
"Hymenoptera (Ants, Wasps & Bees):",Ophion scutellaris,an Ichneumon Fly,2020-04-16,"common, early spring parasitoid of noctuids."
Hemiptera (Bugs):,Aradus depressus,Flatbug,2020-04-11,UV. Found under bark of trees infected by fungi
Hemiptera (Bugs):,Tritomegas bicolor,Pied Shieldbug,2020-04-04,Feeds on white dead-nettle
Coleoptera (beetles):,Nicrophorus humator,Sexton beetle,2020-03-17,UV.  Feeds on carrion; buries small mammals.
Hemiptera (Bugs):,Acanthosoma haemorrhoidale,Hawthorn Shield Bug,2020-02-20,"Common on Hawthorn, feeding on berries"
"Hymenoptera (Ants, Wasps & Bees):",Ophion obscuratus,an Ichneumon Fly,2020-02-08,"v. common, attacking various small to medium Noctuidae."
Psocoptera (Psocids):,Ectopsocus petersi,type of Barkfly,2019-11-18,Common
Orthoptera (Grasshoppers & Crickets):,Meconema thalassinum,Oak Bush-cricket,2019-11-05,UV
Coleoptera (beetles):,Sciaphilus asperatus,Strawberry Root Weevil,2019-10-14,"UV  Widespread, but scarce in the north of UK"
Coleoptera (beetles):,Ocypus olens,Devil's Coach Horse,2019-10-13,Nocturnal predator feeding on insects and spiders.
Hemiptera (Bugs):,Troilus luridus,,2019-10-12,UV  On trees.  Eats caterpillars & beetle larvae
Coleoptera (beetles):,Leistus spinibarbis,,2019-10-11,A ground beetle.
Trichoptera (Caddis Flies):,Limnephilus sparsus,,2019-10-10,UV.
Coleoptera (beetles):,Aphodius sphacelatus,Dung beetle,2019-10-10,UV.  Feeds on dung and decaying vegetation
Coleoptera (beetles):,Brachypera zoilus,Clover leaf weevil,2019-10-10,"UV.  HERTS RARE, on clover"
Hemiptera (Bugs):,Pantilius tunicatus,,2019-10-04,UV. Common on lower branches of Hazel
Trichoptera (Caddis Flies):,Limnephilus marmoratus,Cinnamon Sedge,2019-10-03,UV.
Odonata (dragonflies & Damselflies):,Sympetrum striolatum,Common  Darter,2019-09-21,Common and widely distributed
"Hymenoptera (Ants, Wasps & Bees):",Vespa crabro,Hornet,2019-09-21,Sudden arrival in 2004.
Odonata (dragonflies & Damselflies):,Aeshna cyanea,Southern Hawker,2019-09-03,Common in South and Midlands
Odonata (dragonflies & Damselflies):,Aeshna mixta,Migrant Hawker,2019-09-03,"Once rare, spreading north"
Orthoptera (Grasshoppers & Crickets):,Metrioptera roeselii,Roesel's Bush-cricket,2019-09-03,
Odonata (dragonflies & Damselflies):,Coenagrion puella,Azure Damselfly,2019-08-19,"Widespread, occasionally away from water"
Hemiptera (Bugs):,Aelia acuminata,Bishops Mitre Shield Bug,2019-08-19,
Araneae (Spiders):,Misumena vatia,Crab Spider,2019-08-19,
Hemiptera (Bugs):,Pentatoma rufipes,Forest Bug,2019-08-14,"Larvae on oak, adult eats caterpillars"
Hemiptera (Bugs):,Heterotoma planicornis,,2019-08-10,
Hemiptera (Bugs):,Himacerus apterus,Tree Damsel Bug,2019-08-09,"UV.  Eats mites, aphids etc. in trees"
Diptera (Flies):,Anomia permunda,,2019-08-09,UV.  Develop in Hawthorn
Coleoptera (beetles):,Bradycellus verbasci,,2019-08-08,Often abundant in August
Hemiptera (Bugs):,Phytocoris varipes,,2019-08-07,Feeds on many grasses and plants
"Hymenoptera (Ants, Wasps & Bees):",Cladius pilicornis,Simple Hairy-horned Cladius Sawfly,2019-08-06,U.V. Larva feeds on hawthorn; common.
Hemiptera (Bugs):,Himacerus major,Grey Damsel Bug,2019-08-02,UV. Common in grassy habitats
Hemiptera (Bugs):,Dolycoris baccarum,Sloe or Hairy Shieldbug,2019-07-31,♂UV
"Hymenoptera (Ants, Wasps & Bees):",Ancistrocerus trifasciatus,a Mason or Potter wasp,2019-07-25,Often in marshy places. Larvae feed on caterpillars.
"Hymenoptera (Ants, Wasps & Bees):",Lasioglossum fulvicorne,a Mining bee,2019-07-23,Prefers short grassland in dry areas.
Psocoptera (Psocids):,Psococerastis gibbosa,type of Barkfly,2019-07-18,
Hemiptera (Bugs):,Coreus marginatus,Dock Bug,2019-07-14,"Eats dock, sorrel, knotgrass."
Hemiptera (Bugs):,Eurygaster testudinaria,Tortoise Bug,2019-07-13,on Heath. Nymphs feed on grasses; Widespread
Trichoptera (Caddis Flies):,Hydroptila tineoides ?,,2019-07-10,
Coleoptera (beetles):,Calvia quattuordecimguttata,Cream-spot Ladybird,2019-06-29,"UV.  On deciduous trees, overwinters in leaf litter"
Diptera (Flies):,Meredon equestris,Narcissus fly (a Hoverfly),2019-06-27,Can be common.  Seen 1979 Leasey Bridge
Coleoptera (beetles):,Chrysolina oricalcia,,2019-06-26,U.V.  Rare.  NATIONALLY NOTABLE Nb
Coleoptera (beetles):,Rutpela maculata,Spotted Longhorn Beetle,2019-06-16,Larvae develop in damp decaying dead wood.
Hemiptera (Bugs):,Cinara piceae,Greater Black Spruce Aphid,2019-06-04,UV.
Odonata (dragonflies & Damselflies):,Pyrrhosoma nymphula,Large Red Damselfly,2019-06-01,Widespread but declining
Trichoptera (Caddis Flies):,Ceraclea annulicornis?,,2019-06-01,
Coleoptera (beetles):,Sitona lineatus,Striped Pea Weevil,2019-05-31,"Abundant.  On clovers, larvae feed on roots"
"Hymenoptera (Ants, Wasps & Bees):",Andrena nitida,Grey-patched Mining bee,2019-05-27,Common in grassland
Trichoptera (Caddis Flies):,Ceraclea nigronervosa?,Brown or Black Silverhorn,2019-05-26,UV. Common throughout Britain
Coleoptera (beetles):,Stenocorus meridianus,Variable Longhorn beetle,2019-05-22,on flowers
"Hymenoptera (Ants, Wasps & Bees):",Nomada flava,Flavous Nomad Bee,2019-05-09,May
Psocoptera (Psocids):,Elipsocus hyalinus,type of Barkfly,2019-05-04,
Orthoptera (Grasshoppers & Crickets):,Forficula auricularia,Common Earwig,2019-05-03,UV
Hemiptera (Bugs):,Nabis rugosus,Common Damsel Bug,2019-03-19,U.V.  Widespread in grassy habitats.
Diptera (Flies):,Trichocera major,Gnat,2019-01-06,UV. Not commonly recorded elsewhere in U.K.
Collembola (Springtails),Dicyrtomina ornata,Globular Springtail,2018-12-12,.
Psocoptera (Psocids):,Ectopsocus briggsi/meridionalis,type of Barkfly,2018-12-11,UV
Collembola (Springtails),Dicyrtomina ornata,a Globular Springtail,2018-12-11,UV
Coleoptera (beetles):,Tenebrio molitor,Yellow Mealworm Beetle,2018-12-10,on lounge carpet. NOT EVALUATED NATIONALLY
Collembola (Springtails),Jordanthrix nr superba,a Globular Springtail,2018-11-30,UV.  Recent arrival to Britain
"Hymenoptera (Ants, Wasps & Bees):",Biorhiza pallida,Oak Apple Gall Wasp,2018-11-23,Galls seen every year
Coleoptera (beetles):,Hypera postica,Lucerne Weevil,2018-11-15,"UV  Local, feeds on Black Medick"
Psocoptera (Psocids):,Loensia variegata,type of Barkfly,2018-11-08,UV. Uncommon in Britain
Cicadellidae (Leafhoppers),Ribautiana ?ulmi,2008 August 31st,2018-11-01,
Diptera (Flies):,Chromatomyia lonicerae,Agromyzid fly,2018-10-21,Larval mines on Snowberry
Coleoptera (beetles):,Halyzia sedecimguttata,Orange Ladybird,2018-10-21,Found on deciduous trees.
Acarini (Ticks & Mites):,Aceria macrochelus,,2018-10-13,Galls on Norway Maple leaves
Diptera (Flies):,Keroplatus testacea,a Fungus Gnat,2018-10-12,Breeds under logs in assn with Polypores
Coleoptera (beetles):,Harmonia axyridis,Harlequin Ladybird,2018-10-02,Recent invasive species from Europe
Hemiptera (Bugs):,Ledra aurita,Leafhopper,2018-08-07,"UV.  On oaks, feeds on lichen-covered branches"
Coleoptera (beetles):,Nicrophorus investigator,,2018-08-07,UV.  Makes chirping sound with abdomen.
Coleoptera (beetles):,Nicrophorus vespillo,Common Sexton beetle,2018-08-01,UV (?).  Active at night.  Feeds on carrion
Coleoptera (beetles):,Adalia bipunctata,Two-spot Ladybird,2018-07-26,Important predator of aphids.
Coleoptera (beetles):,Dromius quadrimaculatus,,2018-07-19,UV.  Lives under bark
Trichoptera (Caddis Flies):,Agrypnia varia,Speckled Peter,2018-07-17,(photo)
Trichoptera (Caddis Flies):,Agraylea multipunctata ?,,2018-07-05,(photo)
Diptera (Flies):,Agromyza dipsaci,,2018-07-03,(mine on Teazel)
Diptera (Flies):,Hybomitra bimaculata ?,,2018-07-02,
Mecoptera (Scorpion Flies),Panorpa germanica,,2018-06-20,Widespread & very common.
Hemiptera (Bugs):,Leptopterna dolabrata,Meadow plantbug,2018-06-18,"Common, feeds on Timothy, Couch-grass etc"
Diptera (Flies):,Volucella inflata,Cossus Hoverfly,2018-06-13,An extremely local species
Diptera (Flies):,Aulagromyza cornigera,,2018-06-10,Larval leaf mine on Honeysuckle
Diptera (Flies):,Pegomya solennis,,2018-06-09,Leaf mine on dock.
Diptera (Flies):,Tachina fera,  Tachinidae,2018-05-26,V. common parasite of Noctuid & Arctiid moths
Araneae (Spiders):,Pardosa amentata,Wolf Spider,2018-05-13,"Ubiquitous, in a wide variety of habitats"
Diptera (Flies):,Trichopsmyia flavitarsis ?,a Hoverfly,2018-04-23,
Diptera (Flies):,Xanthogramma pedisequum complex,a Hoverfly,2017-08-07,Species to be split; is not sensu stricto
Hemiptera (Bugs):,Liocorus tripustulatus,,2017-07-18,"Feeds on buds, stems, flowers & fruits of the nettle"
Coleoptera (beetles):,Lagria hirta,,2017-07-16,
Psocoptera (Psocids):,Metylophorus nebulosus,type of Barkfly,2017-07-15,
Diptera (Flies):,Helophilus pendulus,a Hoverfly,2017-07-03,Common and widespread
Coleoptera (beetles):,Serica brunnea,,2017-06-30,"UV.  Grassy heathland species, grub feeds on grass roots"
Coleoptera (beetles):,Dorcus parallelipipedus,Lesser Stag Beetle,2017-06-24,Develops in rotten Ash trees
Trichoptera (Caddis Flies):,Phryganea grandis,Great Red Sedge or Murragh,2017-06-23,Local
Coleoptera (beetles):,Harpalus rufipes,,2017-06-17,Eats dry flower seeds on clay soils
Coleoptera (beetles):,Malthinus flaveolus,,2017-06-11,U.V.
"Hymenoptera (Ants, Wasps & Bees):",Bombus hypnorum,Tree Bee,2017-06-03,Arrived in UK 2001. Open woodland; gardens
Coleoptera (beetles):,Denticollis linearis,Kind of click beetle,2017-06-01,
Coleoptera (beetles):,Cantharis pellucida,Soldier beetle,2017-05-29,"Widespread in broad-leaved woodland, on flowers"
Trichoptera (Caddis Flies):,Goera pilosa,Medium Sedge,2017-05-28,Inhabits lakes and rivers.
Coleoptera (beetles):,Dalopius marginatus,,2017-05-25,"Eats insect larvae, supplemented by roots."
Coleoptera (beetles):,Cantharis nigricans,Soldier beetle,2017-05-24,Common among moss and vegetable debris
Collembola (Springtails),Tomocerus longicornis,Springtail,2017-05-17,May
Collembola (Springtails),Pogonognathellus longicornis,a springtail,2017-05-17,(photos) climbs tree trunks. Common
Hemiptera (Bugs):,Heterogaster urticae,Nettle Groundbug,2017-05-16,Mainly found on nettles.  Common
Coleoptera (beetles):,Melanotus castanipes,click beetle,2017-05-16,New species discovered 2006. Few Herts records
Coleoptera (beetles):,Melanotus villosus  sensu stricto,,2017-05-13,A click beetle.
Trichoptera (Caddis Flies):,Hydroptila sparsa,,2017-05-11,"UV. Widespread, abundant in still & running water"
Diptera (Flies):,Eristalis tenax,a Hoverfly,2017-05-11,Common and widespread.  Leasey Bridge 1979
Coleoptera (beetles):,Amara aenea,,2017-05-09,"Very common, loves sunshine"
Diptera (Flies):,Dasysyrphus venustus,a Hoverfly,2017-05-07,Declining Nationally
Neuroptera (Lacewings & Snake flies):,Hemerobius humulinus,,2017-05-03,♂.  Common in deciduous woods
Hemiptera (Bugs):,Nabis ferus,Field Damsel Bug,2017-04-20,"Feeds on leafhoppers, caterpillars, aphids etc"
Diptera (Flies):,Platycheirus manicatus,a Hoverfly,2017-04-20,Declining Nationally. Recorded 1979 at Leasey Bridge
Diptera (Flies):,Phytomyza ilicis,Holly leaf miner,2017-04-14,mine on Holly
"Hymenoptera (Ants, Wasps & Bees):",Hemiteles similis,an Ichneumon Fly,2017-04-05,UV  Parasitoid of spider egg-sacs
Hemiptera (Bugs):,Physatocheila dumetorum,a Lacebug,2017-03-31,"UV.  On lichen-covered trees, esp. Hawthorn"
Coleoptera (beetles):,Phymatodes testaceus,Oak Longhorn,2017-03-31,"UV.  Longhorn beetle, wood feeder."
Trichoptera (Caddis Flies):,Orthotrichia costalis,,2016-08-01,photo
Diptera (Flies):,Myathropa florea,a Hoverfly,2016-07-31,Widespread in woods
Diptera (Flies):,Volucella zonaria,a Hoverfly,2016-07-30,(photo)
Diptera (Flies):,Chaetostomella cylindrica,,2016-07-23,; photo Liz Barrett
Diptera (Flies):,Poecilobothrus nobilitatus,,2016-07-03,Hundreds swarming in muddy puddles
Coleoptera (beetles):,Coccinella septempunctata,7-spot Ladybird,2016-06-24,UV
Snails & Slugs (Stylommatophora):,Limax maximus,,2016-06-22,
Diptera (Flies):,Tephritis formosa,,2015-11-22,UV
Snails & Slugs (Stylommatophora):,Clausilia bidentata,,2015-11-08,in actinic light trap
Hemiptera (Bugs):,Kleidocerys resedae,Birch Catkin bug,2015-11-05,
"Hymenoptera (Ants, Wasps & Bees):",Netelia inedita,an Ichneumon Fly,2015-10-27,U.V. trap
Coleoptera (beetles):,Aphodius contaminatus,Dung beetle,2015-10-07,"UV. Common on various types of dung, esp. horse"
"Hymenoptera (Ants, Wasps & Bees):",Cratichneumon culex (?),an Ichneumon Fly,2015-08-15,
Araneae (Spiders):,Tegenaria gigantea,,2015-08-15,(house)  Widespread in buildings and gardens
Orthoptera (Grasshoppers & Crickets):,Chorthippus parallelus,Meadow Grasshopper,2015-08-07,
Neuroptera (Lacewings & Snake flies):,Hemerobius lutescens,,2015-08-07,Common & widespread
Hemiptera (Bugs):,Campyloneura virgula,,2015-08-06,"Feeds on mites, greenflies, bark lice"
Coleoptera (beetles):,Ophonus ardosiacus,,2015-08-03,"11th. UV 1st Herts. Record, was Nationally Notable Nb. Species of chalky or sandy soil, phytophagous on seeds."
"Hymenoptera (Ants, Wasps & Bees):",Ectemnius lapidarius,a Digger Wasp,2015-08-02,015 Aug.
"Hymenoptera (Ants, Wasps & Bees):",Vespula germanica,German Wasp,2015-08-02,015 Aug
Hemiptera (Bugs):,Phytocoris tiliae,,2015-07-26,Common on oak & ash; larvae eat caterpillars
Coleoptera (beetles):,Aphodius ictericus,Dung beetle,2015-07-23,NATIONALLY SCARCE
Diptera (Flies):,Chorisops tibialis,Dull 4-spined Legionnaire,2015-07-22,Prefers shady places
Coleoptera (beetles):,Anobium punctatum,Common Woodworm,2015-07-21,UV
Coleoptera (beetles):,Anotylus sculpturatus,(Rove beetle),2015-07-20,A Rove beetle.  NATIONALLY SCARCE
Hemiptera (Bugs):,Gonocerus acuteangulatus,Box bug,2015-07-19,UV. Nymph
Hemiptera (Bugs):,Orthotylus marginalis,,2015-07-19,UV
Neuroptera (Lacewings & Snake flies):,Nothochrysa capitata,,2015-07-12,"in UV trap.  Widely distributed, likes conifers"
"Hymenoptera (Ants, Wasps & Bees):",Gorytes laticinctus,a Digger Wasp,2015-07-11,"Rare (RDB3) Endangered. In Scrub, brambles."
Diptera (Flies):,Dioctria linearis,Small Yellow-legged Robber Fly,2015-07-03,Predatory; sucks blood of smaller insects.
Diptera (Flies):,Chloromyia formosa,Broad Centurion,2015-07-02,"Frequent, on Hogweed."
"Hymenoptera (Ants, Wasps & Bees):",Amblyteles armatorius,an Ichneumon Fly,2015-07-02,
Coleoptera (beetles):,Malthodes minimus,,2015-06-28,
Coleoptera (beetles):,Anaspis maculata,(Tumbling flower beetle),2015-06-06,Very common on Hogweed.
Coleoptera (beetles):,Malachius bipustulatus,Common Malachite,2015-05-31,Common.  Hunts insects on flowers
Coleoptera (beetles):,Cantharis cryptica,Soldier Beetle,2015-05-30,
Coleoptera (beetles):,Exomias pellucidus,Hairy Spider Weevil,2015-05-22,"Feeds on Hawthorn, oak etc."
Coleoptera (beetles):,Philorhizus melanocephalus,,2015-05-15,
Trichoptera (Caddis Flies):,Halesus digitatus,,2015-04-25,
Coleoptera (beetles):,Dromius meridionalis,,2015-04-18,in UV trap.  Only 6 other records from Herts
Coleoptera (beetles):,Olibrus liquidus,Shiny beetle,2015-04-17,UV
Coleoptera (beetles):,Anthonomus pedicularis,,2015-04-05,UV.
Coleoptera (beetles):,Ceutorhynchus pallidactylus,Cabbage Stem Weevil,2015-04-05,Feeds on Oilseed Rape etc.
